State,State Fire Council,Name,Link to fire council webpage
Alabama,Y,Alabama Prescribed Fire Council,http://www.alpfc.org/
Alaska,N,,
Arizona,Y,,
Arkansas,Y,Arkansas Prescribed Fire Council,https://www.facebook.com/ArPrescribedFireCouncil/
California,Y (regional),"Central Coast Rx Fire Council,
Northern California Prescribed Fire Council
Southern Sierra Prescribed Fire Council","http://www.centralcoastrxfirecouncil.org/
http://www.norcalrxfirecouncil.org/
https://sites.google.com/site/sosierrapfc/home"
Colorado,Y,Colorado Prescribed Fire Council,http://www.coprescribedfire.org/
Connecticut,N,,
Delaware,N,,
Florida,Y (regional),"North Florida Prescribed Fire Council
Central Florida Prescribed Fire Council
South Florida Interagency Fire Management Council","https://www.facebook.com/northfloridaPFC/
https://www.facebook.com/pg/CFPFCouncil/posts/
"
Georgia,Y,Georgia Prescribed Fire Council,http://www.garxfire.com/
Hawaii,N,,
Idaho,N,,
Illinois,Y,Illinois Prescribed Fire Council,https://www.illinoisprescribedfirecouncil.org/
Indiana,Y,Indiana Prescribed Fire Council,https://inpfc.org/
Iowa,N,,
Kansas,Y,Kansas Prescribed Fire Council,https://www.kglc.org/kansas-prescribed-fire-council.cfm
Kentucky,Y,Kentucky Prescribed Fire Council,https://www.kyfire.org/
Louisiana,Y,Louisiana Prescribed Fire Council,https://www.facebook.com/louisianaprescribedfirecouncil/
Maine,N,,
Maryland,N,,
Massachusetts,N,,
Michigan,Y,Michigan Prescribed Fire Council,https://www.firecouncil.org/
Minnesota,Y,Minnesota Prescribed Fire Council,https://www.facebook.com/minnesotarxfire/
Mississippi,Y,Mississippi Prescribed Fire Council,https://mspfc.wordpress.com/
Missouri,Y,Missouri Prescribed Fire Council,https://moprescribedfire.org/
Montana,N,,
Nebraska,Y,Nebraska Prescribed Fire Council,https://www.nefirecouncil.org/
Nevada,Y,Nevada Prescribed Fire Alliance,https://www.facebook.com/pages/category/Community-Organization/Nevada-Prescribed-Fire-Alliance-1196878193757322/
New Hampshire,Y,New Hampshire Prescribed Fire Council,https://extension.unh.edu/tags/prescribed-fire
New Jersey,N,,
New Mexico,Y,New Mexico Prescribed Fire Council,https://nmrxfire.nmsu.edu/
New York,N,,
North Carolina,Y,North Carolina Prescribed Fire Council,http://www.ncprescribedfirecouncil.org/
North Dakota,N,,
Ohio,Y,Ohio Prescribed Fire Council,https://www.ohioprescribedfire.org/
Oklahoma,Y,Oklahoma Prescribed Fire Council,http://www.oklahomaprescribedfirecouncil.okstate.edu/index.html
Oregon,Y,Oregon Prescribed Fire Council,https://www.oregonrxfire.org/
Pennsylvania,Y,Pennsylvania Prescribed Fire Council,https://paprescribedfire.org/
Rhode Island,N,,
South Carolina,Y,South Carolina Prescribed Fire Council,https://scpfc.weebly.com/
South Dakota,N,,
Tennessee,Y,Tennessee Prescribed Fire Council,https://www.tnpfc.org/
Texas,Y (regional),"Central Texas Prescribed Fire Council
Prescribed Burn Alliance of Texas","https://www.centexrxfire.org/
https://pbatexas.org/"
Utah,Y,Utah Prescribed Fire Council,https://forestry.usu.edu/utah-prescribed-fire-council/who-we-are
Vermont,N,,
Virginia,Y,Virginia Prescribed Fire Council,https://www.vafirecouncil.com/
Washington,Y,Washington Prescribed Fire Council,http://waprescribedfire.org/
West Virginia,N,,
Wisconsin,Y,Wisconsin Prescribed Fire Council,https://prescribedfire.org/
Wyoming,Y,Wyoming Prescribed Fire Council,https://wyoextension.org/wyprescribedfire/
